id,is_zone,through_flow_allowed
258,false,false
259,false,false
260,false,false
261,false,false
262,false,false
263,false,false
264,false,false
265,false,false
266,false,false
267,false,false
268,false,false
269,false,false
270,false,false
271,false,false
272,false,false
273,false,false
274,false,false
275,false,false
276,false,false
277,false,false
278,false,false
279,false,false
280,false,false
281,false,false
282,false,false
283,false,false
284,false,false
285,false,false
286,false,false
287,false,false
288,false,false
289,false,false
290,false,false
291,false,false
292,false,false
293,false,false
294,false,false
295,false,false
296,false,false
297,false,false
298,false,false
299,false,false
300,false,false
301,false,false
302,false,false
303,false,false
304,false,false
305,false,false
306,false,false
307,false,false
308,false,false
309,false,false
310,false,false
311,false,false
312,false,false
313,false,false
314,false,false
315,false,false
316,false,false
317,false,false
318,false,false
319,false,false
320,false,false
321,false,false
322,false,false
323,false,false
324,false,false
325,false,false
326,false,false
327,false,false
328,false,false
329,false,false
330,false,false
331,false,false
332,false,false
333,false,false
334,false,false
335,false,false
336,false,false
337,false,false
338,false,false
339,false,false
340,false,false
341,false,false
342,false,false
343,false,false
344,false,false
345,false,false
346,false,false
347,false,false
348,false,false
349,false,false
350,false,false
351,false,false
352,false,false
353,false,false
354,false,false
355,false,false
356,false,false
357,false,false
358,false,false
359,false,false
360,false,false
361,false,false
362,false,false
363,false,false
364,false,false
365,false,false
366,false,false
367,false,false
368,false,false
369,false,false
370,false,false
371,false,false
372,false,false
373,false,false
374,false,false
375,false,false
376,false,false
377,false,false
378,false,false
379,false,false
380,false,false
381,false,false
382,false,false
383,false,false
384,false,false
385,false,false
386,false,false
387,false,false
388,false,false
389,false,false
390,false,false
391,false,false
392,false,false
393,false,false
394,false,false
395,false,false
396,false,false
397,false,false
398,false,false
399,false,false
400,false,false
401,false,false
402,false,false
403,false,false
404,false,false
405,false,false
406,false,false
407,false,false
408,false,false
409,false,false
410,false,false
411,false,false
412,false,false
413,false,false
414,false,false
415,false,false
416,false,false
417,false,false
418,false,false
419,false,false
420,false,false
421,false,false
422,false,false
423,false,false
424,false,false
425,false,false
426,false,false
427,false,false
428,false,false
429,false,false
430,false,false
431,false,false
432,false,false
433,false,false
434,false,false
435,false,false
436,false,false
437,false,false
438,false,false
439,false,false
440,false,false
441,false,false
442,false,false
443,false,false
444,false,false
445,false,false
446,false,false
447,false,false
448,false,false
449,false,false
450,false,false
451,false,false
452,false,false
453,false,false
454,false,false
455,false,false
456,false,false
457,false,false
458,false,false
459,false,false
460,false,false
461,false,false
462,false,false
463,false,false
464,false,false
465,false,false
466,false,false
467,false,false
468,false,false
469,false,false
470,false,false
471,false,false
472,false,false
473,false,false
474,false,false
475,false,false
476,false,false
477,false,false
478,false,false
479,false,false
480,false,false
481,false,false
482,false,false
483,false,false
484,false,false
485,false,false
486,false,false
487,false,false
488,false,false
489,false,false
490,false,false
491,false,false
492,false,false
493,false,false
494,false,false
495,false,false
496,false,false
497,false,false
498,false,false
499,false,false
500,false,false
501,false,false
502,false,false
503,false,false
504,false,false
505,false,false
506,false,false
507,false,false
508,false,false
509,false,false
510,false,false
511,false,false
512,false,false
513,false,false
514,false,false
515,false,false
516,false,false
517,false,false
518,false,false
519,false,false
520,false,false
521,false,false
522,false,false
523,false,false
524,false,false
525,false,false
526,false,false
527,false,false
528,false,false
529,false,false
530,false,false
531,false,false
532,false,false
533,false,false
534,false,false
535,false,false
536,false,false
537,false,false
538,false,false
539,false,false
540,false,false
541,false,false
542,false,false
543,false,false
544,false,false
545,false,false
546,false,false
547,false,false
548,false,false
549,false,false
550,false,false
551,false,false
552,false,false
553,false,false
554,false,false
555,false,false
556,false,false
557,false,false
558,false,false
559,false,false
560,false,false
561,false,false
562,false,false
563,false,false
564,false,false
565,false,false
566,false,false
567,false,false
568,false,false
569,false,false
570,false,false
571,false,false
572,false,false
573,false,false
574,false,false
575,false,false
576,false,false
577,false,false
578,false,false
579,false,false
580,false,false
581,false,false
582,false,false
583,false,false
584,false,false
585,false,false
586,false,false
587,false,false
588,false,false
589,false,false
590,false,false
591,false,false
592,false,false
593,false,false
594,false,false
595,false,false
596,false,false
597,false,false
598,false,false
599,false,false
600,false,false
601,false,false
602,false,false
603,false,false
604,false,false
605,false,false
606,false,false
607,false,false
608,false,false
609,false,false
610,false,false
611,false,false
612,false,false
613,false,false
614,false,false
615,false,false
616,false,false
617,false,false
618,false,false
619,false,false
620,false,false
621,false,false
622,false,false
623,false,false
624,false,false
625,false,false
626,false,false
627,false,false
628,false,false
629,false,false
630,false,false
631,false,false
632,false,false
633,false,false
634,false,false
635,false,false
636,false,false
637,false,false
638,false,false
639,false,false
640,false,false
641,false,false
642,false,false
643,false,false
644,false,false
645,false,false
646,false,false
647,false,false
648,false,false
649,false,false
650,false,false
651,false,false
652,false,false
653,false,false
654,false,false
655,false,false
656,false,false
657,false,false
658,false,false
659,false,false
660,false,false
661,false,false
662,false,false
663,false,false
664,false,false
665,false,false
666,false,false
667,false,false
668,false,false
669,false,false
670,false,false
671,false,false
672,false,false
673,false,false
674,false,false
675,false,false
676,false,false
677,false,false
678,false,false
679,false,false
680,false,false
681,false,false
682,false,false
683,false,false
684,false,false
685,false,false
686,false,false
687,false,false
688,false,false
689,false,false
690,false,false
691,false,false
692,false,false
693,false,false
694,false,false
695,false,false
696,false,false
697,false,false
698,false,false
699,false,false
700,false,false
701,false,false
702,false,false
703,false,false
704,false,false
705,false,false
706,false,false
707,false,false
708,false,false
709,false,false
710,false,false
711,false,false
712,false,false
713,false,false
714,false,false
715,false,false
716,false,false
717,false,false
718,false,false
719,false,false
720,false,false
721,false,false
722,false,false
723,false,false
724,false,false
725,false,false
726,false,false
727,false,false
728,false,false
729,false,false
730,false,false
731,false,false
732,false,false
733,false,false
734,false,false
735,false,false
736,false,false
737,false,false
738,false,false
739,false,false
740,false,false
741,false,false
742,false,false
743,false,false
744,false,false
745,false,false
746,false,false
747,false,false
748,false,false
749,false,false
750,false,false
751,false,false
752,false,false
753,false,false
754,false,false
755,false,false
756,false,false
757,false,false
758,false,false
759,false,false
760,false,false
761,false,false
762,false,false
763,false,false
764,false,false
765,false,false
766,false,false
767,false,false
768,false,false
769,false,false
770,false,false
771,false,false
772,false,false
773,false,false
774,false,false
775,false,false
776,false,false
777,false,false
778,false,false
779,false,false
780,false,false
781,false,false
782,false,false
783,false,false
784,false,false
785,false,false
786,false,false
787,false,false
788,false,false
789,false,false
790,false,false
791,false,false
792,false,false
793,false,false
794,false,false
795,false,false
796,false,false
797,false,false
798,false,false
799,false,false
800,false,false
801,false,false
802,false,false
803,false,false
804,false,false
805,false,false
806,false,false
807,false,false
808,false,false
809,false,false
810,false,false
811,false,false
812,false,false
813,false,false
814,false,false
815,false,false
816,false,false
817,false,false
818,false,false
819,false,false
820,false,false
821,false,false
822,false,false
823,false,false
824,false,false
825,false,false
826,false,false
827,false,false
828,false,false
829,false,false
830,false,false
831,false,false
832,false,false
833,false,false
834,false,false
835,false,false
836,false,false
837,false,false
838,false,false
839,false,false
840,false,false
841,false,false
842,false,false
843,false,false
844,false,false
845,false,false
846,false,false
847,false,false
848,false,false
849,false,false
850,false,false
851,false,false
852,false,false
853,false,false
854,false,false
855,false,false
856,false,false
857,false,false
858,false,false
859,false,false
860,false,false
861,false,false
862,false,false
863,false,false
864,false,false
865,false,false
866,false,false
867,false,false
868,false,false
869,false,false
870,false,false
871,false,false
872,false,false
873,false,false
874,false,false
875,false,false
876,false,false
877,false,false
878,false,false
879,false,false
880,false,false
881,false,false
882,false,false
883,false,false
884,false,false
885,false,false
886,false,false
887,false,false
888,false,false
889,false,false
890,false,false
891,false,false
892,false,false
893,false,false
894,false,false
895,false,false
896,false,false
897,false,false
898,false,false
899,false,false
900,false,false
901,false,false
902,false,false
903,false,false
904,false,false
905,false,false
906,false,false
907,false,false
908,false,false
909,false,false
910,false,false
911,false,false
912,false,false
913,false,false
914,false,false
915,false,false
916,false,false
917,false,false
918,false,false
919,false,false
920,false,false
921,false,false
922,false,false
923,false,false
924,false,false
925,false,false
926,false,false
927,false,false
928,false,false
929,false,false
930,false,false
931,false,false
932,false,false
933,false,false
934,false,false
935,false,false
936,false,false
937,false,false
938,false,false
939,false,false
940,false,false
941,false,false
942,false,false
943,false,false
944,false,false
945,false,false
946,false,false
947,false,false
948,false,false
949,false,false
950,false,false
951,false,false
952,false,false
953,false,false
954,false,false
955,false,false
956,false,false
957,false,false
958,false,false
959,false,false
960,false,false
961,false,false
962,false,false
963,false,false
964,false,false
965,false,false
966,false,false
967,false,false
968,false,false
969,false,false
970,false,false
971,false,false
972,false,false
973,false,false
974,false,false
975,false,false
976,false,false
977,false,false
978,false,false
979,false,false
980,false,false
981,false,false
982,false,false
983,false,false
984,false,false
985,false,false
986,false,false
987,false,false
988,false,false
989,false,false
990,false,false
991,false,false
992,false,false
993,false,false
994,false,false
995,false,false
996,false,false
997,false,false
998,false,false
999,false,false
1000,false,false
1001,false,false
1002,false,false
1003,false,false
1004,false,false
1005,false,false
1006,false,false
1007,false,false
1008,false,false
1009,false,false
1010,false,false
1011,false,false
1012,false,false
1013,false,false
1014,false,false
1015,false,false
1016,false,false
1017,false,false
1018,false,false
1019,false,false
1020,false,false
